clf,dataset_name,dataset_type,auc,cosine_projection-fixed-max_n,max_n
RISF,6_cardio,numerical,0.51,3.0,3
RISF,6_cardio,numerical,0.5017,3.0,3
RISF,6_cardio,numerical,0.4982,5.0,5
RISF,6_cardio,numerical,0.4162,5.0,5
RISF,6_cardio,numerical,0.411,5.0,5
RISF,6_cardio,numerical,0.4242,5.0,5
RISF,6_cardio,numerical,0.4835,5.0,5
RISF,6_cardio,numerical,0.3344,5.0,5
RISF,6_cardio,numerical,0.4568,5.0,5
RISF,6_cardio,numerical,0.4324,5.0,5
RISF,6_cardio,numerical,0.5179,5.0,5
RISF,6_cardio,numerical,0.4216,5.0,5
RISF,6_cardio,numerical,0.4982,0.25,5
RISF,6_cardio,numerical,0.4162,0.25,5
RISF,6_cardio,numerical,0.411,0.25,5
RISF,6_cardio,numerical,0.4242,0.25,5
RISF,6_cardio,numerical,0.4835,0.25,5
RISF,6_cardio,numerical,0.3344,0.25,5
RISF,6_cardio,numerical,0.4568,0.25,5
RISF,6_cardio,numerical,0.4324,0.25,5
RISF,6_cardio,numerical,0.5179,0.25,5
RISF,6_cardio,numerical,0.4216,0.25,5
RISF,6_cardio,numerical,0.4768,0.5,10
RISF,6_cardio,numerical,0.4583,0.5,10
RISF,6_cardio,numerical,0.4359,0.5,10
RISF,6_cardio,numerical,0.5782,0.5,10
RISF,6_cardio,numerical,0.6115,0.5,10
RISF,6_cardio,numerical,0.3034,0.5,10
RISF,6_cardio,numerical,0.4607,0.5,10
RISF,6_cardio,numerical,0.5656,0.5,10
RISF,6_cardio,numerical,0.5964,0.5,10
RISF,6_cardio,numerical,0.4161,0.5,10
RISF,6_cardio,numerical,0.7515,0.75,15
RISF,6_cardio,numerical,0.7291,0.75,15
RISF,6_cardio,numerical,0.4786,0.75,15
RISF,6_cardio,numerical,0.6343,0.75,15
RISF,6_cardio,numerical,0.7092,0.75,15
RISF,6_cardio,numerical,0.6176,0.75,15
RISF,6_cardio,numerical,0.5845,0.75,15
RISF,6_cardio,numerical,0.6251,0.75,15
RISF,6_cardio,numerical,0.5865,0.75,15
RISF,6_cardio,numerical,0.4401,0.75,15
RISF,6_cardio,numerical,0.404,1.0,21
RISF,6_cardio,numerical,0.5108,1.0,21
RISF,6_cardio,numerical,0.5083,1.0,21
RISF,6_cardio,numerical,0.5532,1.0,21
RISF,6_cardio,numerical,0.5069,1.0,21
RISF,6_cardio,numerical,0.4983,1.0,21
RISF,6_cardio,numerical,0.6078,1.0,21
RISF,6_cardio,numerical,0.5439,1.0,21
RISF,6_cardio,numerical,0.5881,1.0,21
RISF,6_cardio,numerical,0.619,1.0,21
RISF,26_optdigits,numerical,0.8345,2.0,2
RISF,26_optdigits,numerical,0.5452,2.0,2
RISF,26_optdigits,numerical,0.7965,2.0,2
RISF,26_optdigits,numerical,0.831,2.0,2
RISF,26_optdigits,numerical,0.7843,2.0,2
RISF,26_optdigits,numerical,0.597,2.0,2
RISF,26_optdigits,numerical,0.8568,2.0,2
RISF,26_optdigits,numerical,0.7978,2.0,2
RISF,26_optdigits,numerical,0.6813,2.0,2
RISF,26_optdigits,numerical,0.8238,2.0,2
RISF,26_optdigits,numerical,0.923,3.0,3
RISF,26_optdigits,numerical,0.5223,3.0,3
RISF,26_optdigits,numerical,0.9025,3.0,3
RISF,26_optdigits,numerical,0.8057,3.0,3
