clf,dataset_name,dataset_type,auc,distances
RISF,BZR,graph,0.4229,Ipse_Port_Eucl
RISF,BZR,graph,0.3771,Ipse_Port_Eucl
RISF,BZR,graph,0.5958,Ipse_Port_Eucl
RISF,BZR,graph,0.4667,Ipse_Port_Eucl
RISF,BZR,graph,0.4583,Ipse_Port
RISF,BZR,graph,0.5542,Ipse_Port
RISF,BZR,graph,0.4542,Ipse_Port
RISF,BZR,graph,0.6354,Ipse_Port
RISF,BZR,graph,0.4792,Ipse_Port
RISF,BZR,graph,0.6438,Ipse_Manh_NetS
RISF,BZR,graph,0.5312,Ipse_Manh_NetS
RISF,BZR,graph,0.5333,Ipse_Manh_NetS
RISF,BZR,graph,0.7854,Ipse_Manh_NetS
RISF,BZR,graph,0.7396,Ipse_Manh_NetS
RISF,BZR,graph,0.7979,Ipse_Manh_Degr
RISF,BZR,graph,0.8104,Ipse_Manh_Degr
RISF,BZR,graph,0.7375,Ipse_Manh_Degr
RISF,BZR,graph,0.9062,Ipse_Manh_Degr
RISF,BZR,graph,0.8333,Ipse_Manh_Degr
RISF,BZR,graph,0.5646,Ipse_Manh_NetL
RISF,BZR,graph,0.5083,Ipse_Manh_NetL
RISF,BZR,graph,0.6563,Ipse_Manh_NetL
RISF,BZR,graph,0.8583,Ipse_Manh_NetL
RISF,BZR,graph,0.6646,Ipse_Manh_NetL
RISF,BZR,graph,0.5792,Ipse_Manh_Eucl
RISF,BZR,graph,0.6271,Ipse_Manh_Eucl
RISF,BZR,graph,0.5896,Ipse_Manh_Eucl
RISF,BZR,graph,0.7938,Ipse_Manh_Eucl
RISF,BZR,graph,0.4667,Ipse_Manh_Eucl
RISF,BZR,graph,0.5792,Ipse_Manh
RISF,BZR,graph,0.5521,Ipse_Manh
RISF,BZR,graph,0.5562,Ipse_Manh
RISF,BZR,graph,0.8,Ipse_Manh
RISF,BZR,graph,0.6417,Ipse_Manh
RISF,BZR,graph,0.7167,Ipse_NetS_Degr
RISF,BZR,graph,0.6479,Ipse_NetS_Degr
RISF,BZR,graph,0.6833,Ipse_NetS_Degr
RISF,BZR,graph,0.6021,Ipse_NetS_Degr
RISF,BZR,graph,0.6875,Ipse_NetS_Degr
RISF,BZR,graph,0.5312,Ipse_NetS_NetL
RISF,BZR,graph,0.5417,Ipse_NetS_NetL
RISF,BZR,graph,0.6292,Ipse_NetS_NetL
RISF,BZR,graph,0.7104,Ipse_NetS_NetL
RISF,BZR,graph,0.5938,Ipse_NetS_NetL
RISF,BZR,graph,0.5708,Ipse_NetS_Eucl
RISF,BZR,graph,0.4479,Ipse_NetS_Eucl
RISF,BZR,graph,0.425,Ipse_NetS_Eucl
RISF,BZR,graph,0.4292,Ipse_NetS_Eucl
RISF,BZR,graph,0.4521,Ipse_NetS_Eucl
RISF,BZR,graph,0.3958,Ipse_NetS
RISF,BZR,graph,0.5271,Ipse_NetS
RISF,BZR,graph,0.3188,Ipse_NetS
RISF,BZR,graph,0.5146,Ipse_NetS
RISF,BZR,graph,0.4417,Ipse_NetS
RISF,BZR,graph,0.7896,Ipse_Degr_NetL
RISF,BZR,graph,0.7104,Ipse_Degr_NetL
RISF,BZR,graph,0.7542,Ipse_Degr_NetL
RISF,BZR,graph,0.8917,Ipse_Degr_NetL
RISF,BZR,graph,0.7667,Ipse_Degr_NetL
RISF,BZR,graph,0.8188,Ipse_Degr_Eucl
RISF,BZR,graph,0.7208,Ipse_Degr_Eucl
RISF,BZR,graph,0.6375,Ipse_Degr_Eucl
RISF,BZR,graph,0.6542,Ipse_Degr_Eucl
RISF,BZR,graph,0.7104,Ipse_Degr_Eucl
RISF,BZR,graph,0.7979,Ipse_Degr
RISF,BZR,graph,0.7604,Ipse_Degr
RISF,BZR,graph,0.6792,Ipse_Degr
RISF,BZR,graph,0.7125,Ipse_Degr
RISF,BZR,graph,0.7125,Ipse_Degr
RISF,BZR,graph,0.5396,Ipse_NetL_Eucl
RISF,BZR,graph,0.5438,Ipse_NetL_Eucl
RISF,BZR,graph,0.6125,Ipse_NetL_Eucl
RISF,BZR,graph,0.8875,Ipse_NetL_Eucl
RISF,BZR,graph,0.6187,Ipse_NetL_Eucl
RISF,BZR,graph,0.5458,Ipse_NetL
RISF,BZR,graph,0.5646,Ipse_NetL
RISF,BZR,graph,0.5729,Ipse_NetL
RISF,BZR,graph,0.9042,Ipse_NetL
RISF,BZR,graph,0.6021,Ipse_NetL
RISF,BZR,graph,0.5542,Ipse_Eucl
RISF,BZR,graph,0.5479,Ipse_Eucl
RISF,BZR,graph,0.4146,Ipse_Eucl
RISF,BZR,graph,0.6125,Ipse_Eucl
RISF,BZR,graph,0.4021,Ipse_Eucl
RISF,BZR,graph,0.4688,Ipse
RISF,BZR,graph,0.4958,Ipse
RISF,BZR,graph,0.2938,Ipse
RISF,BZR,graph,0.5958,Ipse
RISF,BZR,graph,0.3167,Ipse
RISF,BZR,graph,0.5833,Port_Manh_NetS
RISF,BZR,graph,0.5042,Port_Manh_NetS
RISF,BZR,graph,0.6125,Port_Manh_NetS
RISF,BZR,graph,0.8,Port_Manh_NetS
RISF,BZR,graph,0.7333,Port_Manh_NetS
RISF,BZR,graph,0.8458,Port_Manh_Degr
RISF,BZR,graph,0.7667,Port_Manh_Degr
RISF,BZR,graph,0.8188,Port_Manh_Degr
RISF,BZR,graph,0.9729,Port_Manh_Degr
RISF,BZR,graph,0.8188,Port_Manh_Degr
RISF,BZR,graph,0.5708,Port_Manh_NetL
RISF,BZR,graph,0.5479,Port_Manh_NetL
RISF,BZR,graph,0.6729,Port_Manh_NetL
RISF,BZR,graph,0.8062,Port_Manh_NetL
RISF,BZR,graph,0.6458,Port_Manh_NetL
RISF,BZR,graph,0.525,Port_Manh_Eucl
RISF,BZR,graph,0.4229,Port_Manh_Eucl
RISF,BZR,graph,0.6688,Port_Manh_Eucl
RISF,BZR,graph,0.7583,Port_Manh_Eucl
RISF,BZR,graph,0.5062,Port_Manh_Eucl
RISF,BZR,graph,0.5812,Port_Manh
RISF,BZR,graph,0.5146,Port_Manh
RISF,BZR,graph,0.6604,Port_Manh
RISF,BZR,graph,0.7896,Port_Manh
RISF,BZR,graph,0.5979,Port_Manh
RISF,BZR,graph,0.7708,Port_NetS_Degr
RISF,BZR,graph,0.65,Port_NetS_Degr
RISF,BZR,graph,0.7313,Port_NetS_Degr
RISF,BZR,graph,0.775,Port_NetS_Degr
RISF,BZR,graph,0.8042,Port_NetS_Degr
RISF,BZR,graph,0.5542,Port_NetS_NetL
RISF,BZR,graph,0.6,Port_NetS_NetL
RISF,BZR,graph,0.6333,Port_NetS_NetL
RISF,BZR,graph,0.8271,Port_NetS_NetL
RISF,BZR,graph,0.7042,Port_NetS_NetL
RISF,BZR,graph,0.4854,Port_NetS_Eucl
RISF,BZR,graph,0.4,Port_NetS_Eucl
RISF,BZR,graph,0.4125,Port_NetS_Eucl
RISF,BZR,graph,0.5271,Port_NetS_Eucl
RISF,BZR,graph,0.575,Port_NetS_Eucl
RISF,BZR,graph,0.4917,Port_NetS
RISF,BZR,graph,0.4,Port_NetS
RISF,BZR,graph,0.3917,Port_NetS
RISF,BZR,graph,0.5812,Port_NetS
RISF,BZR,graph,0.6042,Port_NetS
RISF,BZR,graph,0.8771,Port_Degr_NetL
RISF,BZR,graph,0.7333,Port_Degr_NetL
RISF,BZR,graph,0.7458,Port_Degr_NetL
RISF,BZR,graph,0.8896,Port_Degr_NetL
RISF,BZR,graph,0.8146,Port_Degr_NetL
RISF,BZR,graph,0.8188,Port_Degr_Eucl
RISF,BZR,graph,0.7333,Port_Degr_Eucl
RISF,BZR,graph,0.7083,Port_Degr_Eucl
RISF,BZR,graph,0.7833,Port_Degr_Eucl
RISF,BZR,graph,0.7771,Port_Degr_Eucl
RISF,BZR,graph,0.8167,Port_Degr
RISF,BZR,graph,0.7375,Port_Degr
RISF,BZR,graph,0.7667,Port_Degr
RISF,BZR,graph,0.7729,Port_Degr
RISF,BZR,graph,0.8333,Port_Degr
RISF,BZR,graph,0.475,Port_NetL_Eucl
RISF,BZR,graph,0.4875,Port_NetL_Eucl
RISF,BZR,graph,0.5917,Port_NetL_Eucl
RISF,BZR,graph,0.8062,Port_NetL_Eucl
RISF,BZR,graph,0.5396,Port_NetL_Eucl
RISF,BZR,graph,0.5125,Port_NetL
RISF,BZR,graph,0.4958,Port_NetL
RISF,BZR,graph,0.6812,Port_NetL
RISF,BZR,graph,0.8625,Port_NetL
RISF,BZR,graph,0.6958,Port_NetL
RISF,BZR,graph,0.4979,Port_Eucl
RISF,BZR,graph,0.3958,Port_Eucl
RISF,BZR,graph,0.5125,Port_Eucl
RISF,BZR,graph,0.6521,Port_Eucl
