clf,dataset_name,dataset_type,auc,distances
RSIF,COX2,graph,0.5091,Ipse_Port_Nume
RSIF,COX2,graph,0.6291,Ipse_Port_Nume
RSIF,COX2,graph,0.5673,Ipse_Port_Nume
RSIF,COX2,graph,0.5564,Ipse_Port_Nume
RSIF,COX2,graph,0.5,Ipse_Port_Nume
RSIF,COX2,graph,0.4582,Ipse_Port
RSIF,COX2,graph,0.3782,Ipse_Port
RSIF,COX2,graph,0.4655,Ipse_Port
RSIF,COX2,graph,0.5073,Ipse_Port
RSIF,COX2,graph,0.4964,Ipse_Port
RSIF,COX2,graph,0.5345,Ipse_Port
RSIF,COX2,graph,0.6927,Ipse_Port
RSIF,COX2,graph,0.34,Ipse_Port
RSIF,COX2,graph,0.5964,Ipse_Port
RSIF,COX2,graph,0.4782,Ipse_Port
RSIF,COX2,graph,0.4973,Ipse_BagO_NetS
RSIF,COX2,graph,0.4545,Ipse_BagO_NetS
RSIF,COX2,graph,0.5309,Ipse_BagO_NetS
RSIF,COX2,graph,0.52,Ipse_BagO_NetS
RSIF,COX2,graph,0.4364,Ipse_BagO_NetS
RSIF,COX2,graph,0.5509,Ipse_BagO_NetS
RSIF,COX2,graph,0.6927,Ipse_BagO_NetS
RSIF,COX2,graph,0.3327,Ipse_BagO_NetS
RSIF,COX2,graph,0.6273,Ipse_BagO_NetS
RSIF,COX2,graph,0.4218,Ipse_BagO_NetS
RSIF,COX2,graph,0.4682,Ipse_BagO_Degr
RSIF,COX2,graph,0.3055,Ipse_BagO_Degr
RSIF,COX2,graph,0.5145,Ipse_BagO_Degr
RSIF,COX2,graph,0.6182,Ipse_BagO_Degr
RSIF,COX2,graph,0.58,Ipse_BagO_Degr
RSIF,COX2,graph,0.6,Ipse_BagO_Degr
RSIF,COX2,graph,0.7164,Ipse_BagO_Degr
RSIF,COX2,graph,0.5309,Ipse_BagO_Degr
RSIF,COX2,graph,0.6764,Ipse_BagO_Degr
RSIF,COX2,graph,0.5455,Ipse_BagO_Degr
RSIF,COX2,graph,0.5618,Ipse_BagO_NetL
RSIF,COX2,graph,0.3891,Ipse_BagO_NetL
RSIF,COX2,graph,0.5636,Ipse_BagO_NetL
RSIF,COX2,graph,0.5945,Ipse_BagO_NetL
RSIF,COX2,graph,0.5073,Ipse_BagO_NetL
RSIF,COX2,graph,0.4236,Ipse_BagO_NetL
RSIF,COX2,graph,0.6855,Ipse_BagO_NetL
RSIF,COX2,graph,0.6436,Ipse_BagO_NetL
RSIF,COX2,graph,0.7018,Ipse_BagO_NetL
RSIF,COX2,graph,0.4673,Ipse_BagO_NetL
RSIF,COX2,graph,0.6055,Ipse_BagO_Nume
RSIF,COX2,graph,0.5036,Ipse_BagO_Nume
RSIF,COX2,graph,0.4909,Ipse_BagO_Nume
RSIF,COX2,graph,0.6164,Ipse_BagO_Nume
RSIF,COX2,graph,0.6273,Ipse_BagO_Nume
RSIF,COX2,graph,0.4127,Ipse_BagO_Nume
RSIF,COX2,graph,0.7145,Ipse_BagO_Nume
RSIF,COX2,graph,0.6382,Ipse_BagO_Nume
RSIF,COX2,graph,0.7127,Ipse_BagO_Nume
RSIF,COX2,graph,0.4318,Ipse_BagO_Nume
RSIF,COX2,graph,0.51,Ipse_BagO
RSIF,COX2,graph,0.4291,Ipse_BagO
RSIF,COX2,graph,0.3655,Ipse_BagO
RSIF,COX2,graph,0.5364,Ipse_BagO
RSIF,COX2,graph,0.5745,Ipse_BagO
RSIF,COX2,graph,0.5036,Ipse_BagO
RSIF,COX2,graph,0.7109,Ipse_BagO
RSIF,COX2,graph,0.4491,Ipse_BagO
RSIF,COX2,graph,0.5127,Ipse_BagO
RSIF,COX2,graph,0.4109,Ipse_BagO
RSIF,COX2,graph,0.4564,Ipse_NetS_Degr
