clf,dataset_name,dataset_type,auc,distances
RISF,IMDB-BINARY,graph,0.3792,Ips_Por_Oni_Net_euc
RISF,IMDB-BINARY,graph,0.37,Ips_Por_Oni_Net_euc
RISF,IMDB-BINARY,graph,0.5408,Ips_Por_Oni_Net
RISF,IMDB-BINARY,graph,0.3683,Ips_Por_Oni_Net
RISF,IMDB-BINARY,graph,0.4075,Ips_Por_Oni_Net
RISF,IMDB-BINARY,graph,0.57,Ips_Por_Oni_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.2283,Ips_Por_Oni_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.4133,Ips_Por_Oni_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.6108,Ips_Por_Oni_Deg_Net
RISF,IMDB-BINARY,graph,0.325,Ips_Por_Oni_Deg_Net
RISF,IMDB-BINARY,graph,0.395,Ips_Por_Oni_Deg_Net
RISF,IMDB-BINARY,graph,0.6042,Ips_Por_Oni_Deg_euc
RISF,IMDB-BINARY,graph,0.3567,Ips_Por_Oni_Deg_euc
RISF,IMDB-BINARY,graph,0.2958,Ips_Por_Oni_Deg_euc
RISF,IMDB-BINARY,graph,0.5367,Ips_Por_Oni_Deg
RISF,IMDB-BINARY,graph,0.4617,Ips_Por_Oni_Deg
RISF,IMDB-BINARY,graph,0.4775,Ips_Por_Oni_Deg
RISF,IMDB-BINARY,graph,0.4825,Ips_Por_Oni_Net_euc
RISF,IMDB-BINARY,graph,0.2392,Ips_Por_Oni_Net_euc
RISF,IMDB-BINARY,graph,0.3808,Ips_Por_Oni_Net_euc
RISF,IMDB-BINARY,graph,0.4725,Ips_Por_Oni_Net
RISF,IMDB-BINARY,graph,0.2483,Ips_Por_Oni_Net
RISF,IMDB-BINARY,graph,0.3667,Ips_Por_Oni_Net
RISF,IMDB-BINARY,graph,0.5317,Ips_Por_Oni_euc
RISF,IMDB-BINARY,graph,0.3192,Ips_Por_Oni_euc
RISF,IMDB-BINARY,graph,0.41,Ips_Por_Oni_euc
RISF,IMDB-BINARY,graph,0.5275,Ips_Por_Oni
RISF,IMDB-BINARY,graph,0.3983,Ips_Por_Oni
RISF,IMDB-BINARY,graph,0.3658,Ips_Por_Oni
RISF,IMDB-BINARY,graph,0.4733,Ips_Por_Net_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.2467,Ips_Por_Net_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.355,Ips_Por_Net_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.5025,Ips_Por_Net_Deg_Net
RISF,IMDB-BINARY,graph,0.36,Ips_Por_Net_Deg_Net
RISF,IMDB-BINARY,graph,0.3417,Ips_Por_Net_Deg_Net
RISF,IMDB-BINARY,graph,0.5542,Ips_Por_Net_Deg_euc
RISF,IMDB-BINARY,graph,0.3475,Ips_Por_Net_Deg_euc
RISF,IMDB-BINARY,graph,0.2583,Ips_Por_Net_Deg_euc
