clf,dataset_name,dataset_type,auc,n_estimators
RISF,ad_nominal,binary,0.5296,1
RISF,ad_nominal,binary,0.4739,1
RISF,ad_nominal,binary,0.6281,1
RISF,ad_nominal,binary,0.7702,5
RISF,ad_nominal,binary,0.581,5
RISF,ad_nominal,binary,0.5717,5
RISF,ad_nominal,binary,0.5448,5
RISF,ad_nominal,binary,0.5666,5
RISF,ad_nominal,binary,0.7244,10
RISF,ad_nominal,binary,0.603,10
RISF,ad_nominal,binary,0.6625,10
RISF,ad_nominal,binary,0.5329,10
RISF,ad_nominal,binary,0.6132,10
RISF,ad_nominal,binary,0.7637,25
RISF,ad_nominal,binary,0.6679,25
RISF,ad_nominal,binary,0.7136,25
RISF,ad_nominal,binary,0.652,25
RISF,ad_nominal,binary,0.649,25
RISF,ad_nominal,binary,0.7648,50
RISF,ad_nominal,binary,0.6898,50
RISF,ad_nominal,binary,0.7077,50
RISF,ad_nominal,binary,0.6656,50
RISF,ad_nominal,binary,0.6778,50
RISF,ad_nominal,binary,0.7599,100
RISF,ad_nominal,binary,0.6843,100
RISF,ad_nominal,binary,0.725,100
RISF,ad_nominal,binary,0.6511,100
RISF,ad_nominal,binary,0.6993,100
RISF,ad_nominal,binary,0.7364,200
RISF,ad_nominal,binary,0.6908,200
RISF,ad_nominal,binary,0.7392,200
RISF,ad_nominal,binary,0.6775,200
RISF,ad_nominal,binary,0.6977,200
RISF,ad_nominal,binary,0.7384,300
RISF,ad_nominal,binary,0.6954,300
RISF,ad_nominal,binary,0.7327,300
RISF,ad_nominal,binary,0.6778,300
RISF,ad_nominal,binary,0.712,300
RISF,TwoLeadECG,timeseries,0.7594,1
RISF,TwoLeadECG,timeseries,0.5578,1
RISF,TwoLeadECG,timeseries,0.62,1
RISF,TwoLeadECG,timeseries,0.7346,1
RISF,TwoLeadECG,timeseries,0.5171,1
RISF,TwoLeadECG,timeseries,0.7638,5
RISF,TwoLeadECG,timeseries,0.6032,5
RISF,TwoLeadECG,timeseries,0.5124,5
RISF,TwoLeadECG,timeseries,0.8489,5
RISF,TwoLeadECG,timeseries,0.661,5
RISF,TwoLeadECG,timeseries,0.9003,10
RISF,TwoLeadECG,timeseries,0.5549,10
RISF,TwoLeadECG,timeseries,0.4997,10
RISF,TwoLeadECG,timeseries,0.786,10
RISF,TwoLeadECG,timeseries,0.5962,10
RISF,TwoLeadECG,timeseries,0.8717,25
RISF,TwoLeadECG,timeseries,0.779,25
RISF,TwoLeadECG,timeseries,0.5879,25
RISF,TwoLeadECG,timeseries,0.8006,25
RISF,TwoLeadECG,timeseries,0.6533,25
RISF,TwoLeadECG,timeseries,0.8394,50
RISF,TwoLeadECG,timeseries,0.8051,50
RISF,TwoLeadECG,timeseries,0.6165,50
RISF,TwoLeadECG,timeseries,0.779,50
RISF,TwoLeadECG,timeseries,0.6502,50
RISF,TwoLeadECG,timeseries,0.8673,100
RISF,TwoLeadECG,timeseries,0.8121,100
RISF,TwoLeadECG,timeseries,0.6971,100
RISF,TwoLeadECG,timeseries,0.774,100
RISF,TwoLeadECG,timeseries,0.6565,100
RISF,TwoLeadECG,timeseries,0.8711,200
RISF,TwoLeadECG,timeseries,0.8241,200
RISF,TwoLeadECG,timeseries,0.7098,200
RISF,TwoLeadECG,timeseries,0.8044,200
RISF,TwoLeadECG,timeseries,0.6635,200
RISF,TwoLeadECG,timeseries,0.8679,300
RISF,TwoLeadECG,timeseries,0.8114,300
RISF,TwoLeadECG,timeseries,0.6978,300
RISF,TwoLeadECG,timeseries,0.8184,300
RISF,TwoLeadECG,timeseries,0.6838,300
RISF,agnews_1,nlp,0.5072,1
RISF,agnews_1,nlp,0.5079,1
RISF,agnews_1,nlp,0.4212,1
RISF,agnews_1,nlp,0.5623,1
RISF,agnews_1,nlp,0.4837,1
RISF,agnews_1,nlp,0.6501,5
RISF,agnews_1,nlp,0.5623,5
RISF,agnews_1,nlp,0.5248,5
RISF,agnews_1,nlp,0.6559,5
RISF,agnews_1,nlp,0.5722,5
RISF,agnews_1,nlp,0.6616,10
RISF,agnews_1,nlp,0.5825,10
RISF,agnews_1,nlp,0.6399,10
RISF,agnews_1,nlp,0.6307,10
RISF,agnews_1,nlp,0.5903,10
RISF,agnews_1,nlp,0.6722,25
RISF,agnews_1,nlp,0.6223,25
RISF,agnews_1,nlp,0.6812,25
RISF,agnews_1,nlp,0.7211,25
RISF,agnews_1,nlp,0.6541,25
RISF,agnews_1,nlp,0.6454,50
RISF,agnews_1,nlp,0.6769,50
RISF,agnews_1,nlp,0.6929,50
RISF,agnews_1,nlp,0.7222,50
RISF,agnews_1,nlp,0.6957,50
RISF,agnews_1,nlp,0.6845,100
RISF,agnews_1,nlp,0.7044,100
RISF,agnews_1,nlp,0.7254,100
RISF,agnews_1,nlp,0.7522,100
RISF,agnews_1,nlp,0.7319,100
RISF,agnews_1,nlp,0.6627,200
RISF,agnews_1,nlp,0.7099,200
RISF,agnews_1,nlp,0.7249,200
RISF,agnews_1,nlp,0.7829,200
RISF,agnews_1,nlp,0.7215,200
RISF,agnews_1,nlp,0.6791,300
RISF,agnews_1,nlp,0.7191,300
