clf,dataset_name,dataset_type,auc,max_samples
IForest,6_cardio,numerical,0.9232,64
IForest,6_cardio,numerical,0.9319,64
IForest,6_cardio,numerical,0.9148,64
IForest,6_cardio,numerical,0.9407,128
IForest,6_cardio,numerical,0.9093,128
IForest,6_cardio,numerical,0.9147,128
IForest,6_cardio,numerical,0.9202,128
IForest,6_cardio,numerical,0.9309,128
IForest,6_cardio,numerical,0.9495,256
IForest,6_cardio,numerical,0.9259,256
IForest,6_cardio,numerical,0.903,256
IForest,6_cardio,numerical,0.9279,256
IForest,6_cardio,numerical,0.9279,256
IForest,6_cardio,numerical,0.9261,512
IForest,6_cardio,numerical,0.9018,512
IForest,6_cardio,numerical,0.9219,512
IForest,6_cardio,numerical,0.9276,512
IForest,6_cardio,numerical,0.9126,512
IForest,26_optdigits,numerical,0.687,64
IForest,26_optdigits,numerical,0.6729,64
IForest,26_optdigits,numerical,0.7189,64
IForest,26_optdigits,numerical,0.7122,64
IForest,26_optdigits,numerical,0.6519,64
IForest,26_optdigits,numerical,0.5961,128
IForest,26_optdigits,numerical,0.7263,128
IForest,26_optdigits,numerical,0.6975,128
IForest,26_optdigits,numerical,0.6889,128
IForest,26_optdigits,numerical,0.7159,128
IForest,26_optdigits,numerical,0.6491,256
IForest,26_optdigits,numerical,0.6776,256
IForest,26_optdigits,numerical,0.7325,256
IForest,26_optdigits,numerical,0.7455,256
IForest,26_optdigits,numerical,0.7101,256
IForest,26_optdigits,numerical,0.743,512
IForest,26_optdigits,numerical,0.6453,512
IForest,26_optdigits,numerical,0.7,512
IForest,26_optdigits,numerical,0.7774,512
IForest,26_optdigits,numerical,0.7241,512
IForest,COX2,graph,0.6345,64
IForest,COX2,graph,0.4682,64
IForest,COX2,graph,0.6555,64
IForest,COX2,graph,0.53,64
IForest,COX2,graph,0.6436,64
IForest,COX2,graph,0.6309,128
IForest,COX2,graph,0.4791,128
IForest,COX2,graph,0.6991,128
IForest,COX2,graph,0.5591,128
IForest,COX2,graph,0.6782,128
IForest,COX2,graph,0.6436,256
IForest,COX2,graph,0.4773,256
IForest,COX2,graph,0.7173,256
IForest,COX2,graph,0.5264,256
IForest,COX2,graph,0.6655,256
IForest,COX2,graph,0.6545,512
IForest,COX2,graph,0.5118,512
IForest,COX2,graph,0.7464,512
IForest,COX2,graph,0.5482,512
IForest,COX2,graph,0.7127,512
IForest,BZR,graph,0.6208,64
IForest,BZR,graph,0.5229,64
IForest,BZR,graph,0.4271,64
IForest,BZR,graph,0.6104,64
IForest,BZR,graph,0.3969,64
IForest,BZR,graph,0.6229,128
IForest,BZR,graph,0.5208,128
IForest,BZR,graph,0.4375,128
IForest,BZR,graph,0.6604,128
IForest,BZR,graph,0.476,128
IForest,BZR,graph,0.6167,256
IForest,BZR,graph,0.6188,256
IForest,BZR,graph,0.4875,256
IForest,BZR,graph,0.625,256
IForest,BZR,graph,0.4198,256
IForest,BZR,graph,0.6167,512
IForest,BZR,graph,0.6188,512
IForest,BZR,graph,0.4875,512
IForest,BZR,graph,0.625,512
IForest,BZR,graph,0.4198,512
IForest,DHFR,graph,0.4296,64
IForest,DHFR,graph,0.4964,64
IForest,DHFR,graph,0.48,64
IForest,DHFR,graph,0.4296,64
IForest,DHFR,graph,0.3618,64
IForest,DHFR,graph,0.4286,128
IForest,DHFR,graph,0.5324,128
IForest,DHFR,graph,0.4841,128
IForest,DHFR,graph,0.4419,128
IForest,DHFR,graph,0.3618,128
IForest,DHFR,graph,0.4573,256
IForest,DHFR,graph,0.5529,256
IForest,DHFR,graph,0.4656,256
IForest,DHFR,graph,0.4193,256
IForest,DHFR,graph,0.3607,256
IForest,DHFR,graph,0.4317,512
IForest,DHFR,graph,0.5478,512
IForest,DHFR,graph,0.4625,512
IForest,DHFR,graph,0.443,512
IForest,DHFR,graph,0.3772,512
IForest,ad_nominal,binary,0.7082,64
IForest,ad_nominal,binary,0.6918,64
IForest,ad_nominal,binary,0.7468,64
IForest,ad_nominal,binary,0.7158,64
IForest,ad_nominal,binary,0.6953,64
IForest,ad_nominal,binary,0.7093,128
IForest,ad_nominal,binary,0.699,128
IForest,ad_nominal,binary,0.7738,128
IForest,ad_nominal,binary,0.713,128
IForest,ad_nominal,binary,0.7105,128
