clf,dataset_name,dataset_type,auc,max_samples
RSIF,6_cardio,numerical,0.9704,64
RSIF,6_cardio,numerical,0.9711,64
RSIF,6_cardio,numerical,0.9521,64
RSIF,6_cardio,numerical,0.9559,64
RSIF,6_cardio,numerical,0.9801,64
RSIF,6_cardio,numerical,0.952,64
RSIF,6_cardio,numerical,0.964,64
RSIF,6_cardio,numerical,0.9613,64
RSIF,6_cardio,numerical,0.9651,64
RSIF,6_cardio,numerical,0.9712,128
RSIF,6_cardio,numerical,0.9703,128
RSIF,6_cardio,numerical,0.9722,128
RSIF,6_cardio,numerical,0.9686,128
RSIF,6_cardio,numerical,0.9606,128
RSIF,6_cardio,numerical,0.9868,128
RSIF,6_cardio,numerical,0.9551,128
RSIF,6_cardio,numerical,0.9699,128
RSIF,6_cardio,numerical,0.9614,128
RSIF,6_cardio,numerical,0.9662,128
RSIF,6_cardio,numerical,0.972,256
RSIF,6_cardio,numerical,0.9612,256
RSIF,6_cardio,numerical,0.9689,256
RSIF,6_cardio,numerical,0.9686,256
RSIF,6_cardio,numerical,0.9614,256
RSIF,6_cardio,numerical,0.982,256
RSIF,6_cardio,numerical,0.965,256
RSIF,6_cardio,numerical,0.9692,256
RSIF,6_cardio,numerical,0.9518,256
RSIF,6_cardio,numerical,0.9637,256
RSIF,6_cardio,numerical,0.9628,512
RSIF,6_cardio,numerical,0.9666,512
RSIF,6_cardio,numerical,0.9642,512
RSIF,6_cardio,numerical,0.9588,512
RSIF,6_cardio,numerical,0.9558,512
RSIF,6_cardio,numerical,0.9738,512
RSIF,6_cardio,numerical,0.9476,512
RSIF,6_cardio,numerical,0.9549,512
RSIF,6_cardio,numerical,0.9482,512
RSIF,6_cardio,numerical,0.9677,512
RSIF,26_optdigits,numerical,0.4115,64
RSIF,26_optdigits,numerical,0.4397,64
RSIF,26_optdigits,numerical,0.3767,64
RSIF,26_optdigits,numerical,0.4648,64
RSIF,26_optdigits,numerical,0.4071,64
RSIF,26_optdigits,numerical,0.4195,64
RSIF,26_optdigits,numerical,0.3678,64
RSIF,26_optdigits,numerical,0.4581,64
RSIF,26_optdigits,numerical,0.4224,64
RSIF,26_optdigits,numerical,0.5098,64
RSIF,26_optdigits,numerical,0.47,128
RSIF,26_optdigits,numerical,0.4052,128
RSIF,26_optdigits,numerical,0.3206,128
RSIF,26_optdigits,numerical,0.4468,128
RSIF,26_optdigits,numerical,0.4042,128
RSIF,26_optdigits,numerical,0.4881,128
RSIF,26_optdigits,numerical,0.5131,128
RSIF,26_optdigits,numerical,0.4056,128
RSIF,26_optdigits,numerical,0.4068,128
RSIF,26_optdigits,numerical,0.3695,128
RSIF,26_optdigits,numerical,0.4149,256
RSIF,26_optdigits,numerical,0.4874,256
RSIF,26_optdigits,numerical,0.4454,256
RSIF,26_optdigits,numerical,0.4021,256
RSIF,26_optdigits,numerical,0.448,256
RSIF,26_optdigits,numerical,0.4784,256
RSIF,26_optdigits,numerical,0.4047,256
RSIF,26_optdigits,numerical,0.3886,256
RSIF,26_optdigits,numerical,0.4522,256
RSIF,26_optdigits,numerical,0.437,256
RSIF,26_optdigits,numerical,0.384,512
RSIF,26_optdigits,numerical,0.3121,512
RSIF,26_optdigits,numerical,0.3751,512
RSIF,26_optdigits,numerical,0.4795,512
