clf,dataset_name,dataset_type,auc
LOF,DHFR,graph,0.4959
LOF,DHFR,graph,0.5144
LOF,DHFR,graph,0.6598
LOF,DHFR,graph,0.6187
LOF,DHFR,graph,0.5175
LOF,DHFR,graph,0.5498
LOF,DHFR,graph,0.6033
LOF,DHFR,graph,0.4743
LOF,DHFR,graph,0.5118
LOF,DHFR,graph,0.7616
LOF,DHFR,graph,0.6655
LOF,DHFR,graph,0.8129
LOF,DHFR,graph,0.6516
LOF,DHFR,graph,0.6372
LOF,ad_nominal,binary,0.5962
LOF,ad_nominal,binary,0.6292
LOF,ad_nominal,binary,0.6084
LOF,ad_nominal,binary,0.5664
LOF,ad_nominal,binary,0.6037
LOF,ad_nominal,binary,0.6303
LOF,ad_nominal,binary,0.5659
LOF,ad_nominal,binary,0.634
LOF,ad_nominal,binary,0.5929
LOF,ad_nominal,binary,0.5838
LOF,ad_nominal,binary,0.63
LOF,ad_nominal,binary,0.6024
LOF,ad_nominal,binary,0.5826
LOF,ad_nominal,binary,0.5391
LOF,ad_nominal,binary,0.6197
LOF,ad_nominal,binary,0.6264
LOF,ad_nominal,binary,0.6008
LOF,ad_nominal,binary,0.5988
LOF,ad_nominal,binary,0.6207
LOF,ad_nominal,binary,0.6078
LOF,TwoLeadECG,timeseries,0.9892
LOF,TwoLeadECG,timeseries,0.9829
LOF,TwoLeadECG,timeseries,0.9295
LOF,TwoLeadECG,timeseries,0.941
LOF,TwoLeadECG,timeseries,0.9714
LOF,TwoLeadECG,timeseries,0.9695
LOF,TwoLeadECG,timeseries,0.9568
LOF,TwoLeadECG,timeseries,0.9676
LOF,TwoLeadECG,timeseries,0.9549
LOF,TwoLeadECG,timeseries,0.939
LOF,TwoLeadECG,timeseries,0.9422
LOF,TwoLeadECG,timeseries,0.9143
LOF,TwoLeadECG,timeseries,0.9822
LOF,TwoLeadECG,timeseries,0.9543
LOF,TwoLeadECG,timeseries,0.9651
LOF,TwoLeadECG,timeseries,0.9117
LOF,TwoLeadECG,timeseries,0.9695
LOF,TwoLeadECG,timeseries,0.9784
LOF,TwoLeadECG,timeseries,0.9949
LOF,TwoLeadECG,timeseries,0.9708
LOF,agnews_1,nlp,0.7552
LOF,agnews_1,nlp,0.7729
LOF,agnews_1,nlp,0.7484
LOF,agnews_1,nlp,0.7622
LOF,agnews_1,nlp,0.7435
LOF,agnews_1,nlp,0.7514
LOF,agnews_1,nlp,0.7404
LOF,agnews_1,nlp,0.7401
LOF,agnews_1,nlp,0.7427
LOF,agnews_1,nlp,0.7558
LOF,agnews_1,nlp,0.7729
LOF,agnews_1,nlp,0.7505
LOF,agnews_1,nlp,0.7544
LOF,agnews_1,nlp,0.7452
LOF,agnews_1,nlp,0.7502
LOF,agnews_1,nlp,0.7545
LOF,agnews_1,nlp,0.7324
LOF,agnews_1,nlp,0.7444
LOF,agnews_1,nlp,0.7425
LOF,agnews_1,nlp,0.7543
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,0.9884
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,0.9302
IForest,21_Lymphography,numerical,0.9884
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,1.0
IForest,21_Lymphography,numerical,0.9884
IForest,36_speech,numerical,0.4107
IForest,36_speech,numerical,0.5321
IForest,36_speech,numerical,0.3821
IForest,36_speech,numerical,0.424
IForest,36_speech,numerical,0.3416
IForest,36_speech,numerical,0.3357
IForest,36_speech,numerical,0.4646
IForest,36_speech,numerical,0.3215
IForest,36_speech,numerical,0.5315
IForest,36_speech,numerical,0.4416
IForest,36_speech,numerical,0.5015
IForest,36_speech,numerical,0.4331
IForest,36_speech,numerical,0.4875
IForest,36_speech,numerical,0.478
IForest,36_speech,numerical,0.5041
IForest,36_speech,numerical,0.4889
IForest,36_speech,numerical,0.5148
IForest,36_speech,numerical,0.5149
IForest,36_speech,numerical,0.4198
IForest,36_speech,numerical,0.4628
IForest,6_cardio,numerical,0.9317
IForest,6_cardio,numerical,0.913
IForest,6_cardio,numerical,0.9095
IForest,6_cardio,numerical,0.9173
IForest,6_cardio,numerical,0.9209
IForest,6_cardio,numerical,0.942
IForest,6_cardio,numerical,0.9091
IForest,6_cardio,numerical,0.928
IForest,6_cardio,numerical,0.8867
IForest,6_cardio,numerical,0.9264
IForest,6_cardio,numerical,0.9217
IForest,6_cardio,numerical,0.9273
IForest,6_cardio,numerical,0.917
IForest,6_cardio,numerical,0.9224
IForest,6_cardio,numerical,0.9092
IForest,6_cardio,numerical,0.9239
IForest,6_cardio,numerical,0.8943
IForest,6_cardio,numerical,0.9057
IForest,6_cardio,numerical,0.9085
IForest,6_cardio,numerical,0.9342
IForest,26_optdigits,numerical,0.7305
IForest,26_optdigits,numerical,0.6282
IForest,26_optdigits,numerical,0.7248
IForest,26_optdigits,numerical,0.7912
IForest,26_optdigits,numerical,0.7594
IForest,26_optdigits,numerical,0.7175
IForest,26_optdigits,numerical,0.7558
IForest,26_optdigits,numerical,0.77
IForest,26_optdigits,numerical,0.7648
IForest,26_optdigits,numerical,0.7885
IForest,26_optdigits,numerical,0.6603
IForest,26_optdigits,numerical,0.7164
IForest,26_optdigits,numerical,0.7174
IForest,26_optdigits,numerical,0.7145
IForest,26_optdigits,numerical,0.6618
IForest,26_optdigits,numerical,0.7436
IForest,26_optdigits,numerical,0.7201
IForest,26_optdigits,numerical,0.73
IForest,26_optdigits,numerical,0.7712
IForest,26_optdigits,numerical,0.6864
IForest,COX2,graph,0.6436
IForest,COX2,graph,0.5118
IForest,COX2,graph,0.7373
IForest,COX2,graph,0.5536
IForest,COX2,graph,0.6873
IForest,COX2,graph,0.5945
IForest,COX2,graph,0.7355
IForest,COX2,graph,0.5255
IForest,COX2,graph,0.7727
IForest,COX2,graph,0.6891
IForest,COX2,graph,0.7145
IForest,COX2,graph,0.3918
IForest,COX2,graph,0.58
IForest,COX2,graph,0.8673
IForest,COX2,graph,0.7055
IForest,COX2,graph,0.6509
IForest,COX2,graph,0.8236
IForest,COX2,graph,0.5873
IForest,COX2,graph,0.5182
IForest,COX2,graph,0.4873
IForest,BZR,graph,0.6167
IForest,BZR,graph,0.6188
IForest,BZR,graph,0.4875
IForest,BZR,graph,0.625
IForest,BZR,graph,0.4198
IForest,BZR,graph,0.7854
IForest,BZR,graph,0.7125
IForest,BZR,graph,0.6479
IForest,BZR,graph,0.625
IForest,BZR,graph,0.6
IForest,BZR,graph,0.5354
IForest,BZR,graph,0.6354
IForest,BZR,graph,0.5604
IForest,BZR,graph,0.6437
IForest,BZR,graph,0.4625
IForest,BZR,graph,0.4604
IForest,BZR,graph,0.5208
IForest,BZR,graph,0.775
IForest,BZR,graph,0.4521
IForest,BZR,graph,0.4125
IForest,DHFR,graph,0.4132
IForest,DHFR,graph,0.5427
IForest,DHFR,graph,0.4707
IForest,DHFR,graph,0.4265
IForest,DHFR,graph,0.37
IForest,DHFR,graph,0.6043
IForest,DHFR,graph,0.4743
IForest,DHFR,graph,0.5504
IForest,DHFR,graph,0.6023
IForest,DHFR,graph,0.6583
IForest,DHFR,graph,0.3941
IForest,DHFR,graph,0.4142
IForest,DHFR,graph,0.591
IForest,DHFR,graph,0.4815
IForest,DHFR,graph,0.4532
IForest,DHFR,graph,0.6485
IForest,DHFR,graph,0.5719
IForest,DHFR,graph,0.6937
IForest,DHFR,graph,0.4049
IForest,DHFR,graph,0.6084
IForest,ad_nominal,binary,0.6964
IForest,ad_nominal,binary,0.7044
IForest,ad_nominal,binary,0.7182
IForest,ad_nominal,binary,0.6927
IForest,ad_nominal,binary,0.684
IForest,ad_nominal,binary,0.7186
IForest,ad_nominal,binary,0.6569
IForest,ad_nominal,binary,0.7155
IForest,ad_nominal,binary,0.717
IForest,ad_nominal,binary,0.6975
IForest,ad_nominal,binary,0.7083
IForest,ad_nominal,binary,0.7156
IForest,ad_nominal,binary,0.6729
IForest,ad_nominal,binary,0.697
IForest,ad_nominal,binary,0.6848
IForest,ad_nominal,binary,0.66
IForest,ad_nominal,binary,0.6876
IForest,ad_nominal,binary,0.7355
IForest,ad_nominal,binary,0.6081
IForest,ad_nominal,binary,0.7306
IForest,TwoLeadECG,timeseries,0.8806
IForest,TwoLeadECG,timeseries,0.8978
IForest,TwoLeadECG,timeseries,0.8114
IForest,TwoLeadECG,timeseries,0.894
IForest,TwoLeadECG,timeseries,0.7562
IForest,TwoLeadECG,timeseries,0.8914
IForest,TwoLeadECG,timeseries,0.8063
IForest,TwoLeadECG,timeseries,0.7562
